granularity,pct,method,NRMSE
df_10min,0.05,ewma,0.035795462581429384
df_10min,0.05,ffill,0.03584769222675683
df_10min,0.05,knn_granufill,0.0358346187041604
df_10min,0.05,pchip,0.03607473976936103
df_10min,0.05,seasonal,0.03585527997810318
df_10min,0.05,cubic,0.03588605688405227
df_10min,0.05,granufill,0.03563946060526561
df_10min,0.05,knn,0.03580425492080267
df_10min,0.05,linear,0.03583974294464743
df_10min,0.05,moving_average,0.03579378114533832
df_10min,0.05,moving_median,0.035798585292739965
df_10min,0.05,quadratic,0.03587840991160197
df_10min,0.10,ewma,0.03573884762473198
df_10min,0.10,ffill,0.03585638558776914
df_10min,0.10,knn_granufill,0.03582373350241263
df_10min,0.10,pchip,0.03607164948406672
df_10min,0.10,seasonal,0.035849592992558646
df_10min,0.10,cubic,0.03591391280771985
df_10min,0.10,granufill,0.035425955166364896
df_10min,0.10,knn,0.035756607840195666
df_10min,0.10,linear,0.03583383664637423
df_10min,0.10,moving_average,0.03573653760398236
df_10min,0.10,moving_median,0.03574441071232334
df_10min,0.10,quadratic,0.0359024675327383
df_10min,0.20,ewma,0.03561849110908926
df_10min,0.20,ffill,0.03584654244298654
df_10min,0.20,knn_granufill,0.03578569806878807
df_10min,0.20,pchip,0.03604661760517638
df_10min,0.20,seasonal,0.03585254092266992
df_10min,0.20,cubic,0.03593246266210363
df_10min,0.20,granufill,0.03499299242853957
df_10min,0.20,knn,0.035656879610943305
df_10min,0.20,linear,0.035803803886187785
df_10min,0.20,moving_average,0.03561878231278003
df_10min,0.20,moving_median,0.035634903285314254
df_10min,0.20,quadratic,0.0359140784394645
df_10min,0.25,ewma,0.035582617878370554
df_10min,0.25,ffill,0.03585687696883767
df_10min,0.25,knn_granufill,0.03578464632579632
df_10min,0.25,pchip,0.036047787127603044
df_10min,0.25,seasonal,0.03587183391547117
df_10min,0.25,cubic,0.035962191256238195
df_10min,0.25,granufill,0.03479684815127258
df_10min,0.25,knn,0.03562469472892022
df_10min,0.25,linear,0.03580268403391851
df_10min,0.25,moving_average,0.03558411582409409
df_10min,0.25,moving_median,0.03560216155115525
df_10min,0.25,quadratic,0.03594022875478568
df_hour,0.05,ewma,0.0729225384754388
df_hour,0.05,ffill,0.072922545118938
df_hour,0.05,knn_granufill,0.07292254208685858
df_hour,0.05,pchip,0.07292255026515734
df_hour,0.05,seasonal,0.07292254862701482
df_hour,0.05,cubic,0.07292259942123254
df_hour,0.05,granufill,0.07292254003153979
df_hour,0.05,knn,0.0729225404828536
df_hour,0.05,linear,0.07292254758926117
df_hour,0.05,moving_average,0.07292253797405275
df_hour,0.05,moving_median,0.07292254221090554
df_hour,0.05,quadratic,0.07292259184264129
df_hour,0.10,ewma,0.0729225384754388
df_hour,0.10,ffill,0.072922545118938
df_hour,0.10,knn_granufill,0.07292254208685858
df_hour,0.10,pchip,0.07292255026515734
df_hour,0.10,seasonal,0.07292254862701482
df_hour,0.10,cubic,0.07292259942123254
df_hour,0.10,granufill,0.07292254003153979
df_hour,0.10,knn,0.0729225404828536
df_hour,0.10,linear,0.07292254758926117
df_hour,0.10,moving_average,0.07292253797405275
df_hour,0.10,moving_median,0.07292254221090554
df_hour,0.10,quadratic,0.07292259184264129
df_hour,0.20,ewma,0.0729225384754388
df_hour,0.20,ffill,0.072922545118938
df_hour,0.20,knn_granufill,0.07292254208685858
df_hour,0.20,pchip,0.07292255026515734
df_hour,0.20,seasonal,0.07292254862701482
df_hour,0.20,cubic,0.07292259942123254
df_hour,0.20,granufill,0.07292254003153979
df_hour,0.20,knn,0.0729225404828536
df_hour,0.20,linear,0.07292254758926117
df_hour,0.20,moving_average,0.07292253797405275
df_hour,0.20,moving_median,0.07292254221090554
df_hour,0.20,quadratic,0.07292259184264129
df_hour,0.25,ewma,0.0729225384754388
df_hour,0.25,ffill,0.072922545118938
df_hour,0.25,knn_granufill,0.07292254208685858
df_hour,0.25,pchip,0.07292255026515734
df_hour,0.25,seasonal,0.07292254862701482
df_hour,0.25,cubic,0.07292259942123254
df_hour,0.25,granufill,0.07292254003153979
df_hour,0.25,knn,0.0729225404828536
df_hour,0.25,linear,0.07292254758926117
df_hour,0.25,moving_average,0.07292253797405275
df_hour,0.25,moving_median,0.07292254221090554
df_hour,0.25,quadratic,0.07292259184264129
