granularity,pct,method,RMSE
df_10min,0.05,ewma,2559293314.3375325
df_10min,0.05,ffill,2563051008.246772
df_10min,0.05,knn_granufill,2562153080.581994
df_10min,0.05,pchip,2579640491.0914874
df_10min,0.05,seasonal,2563540701.800554
df_10min,0.05,cubic,2564770433.738964
df_10min,0.05,granufill,2548194629.5581694
df_10min,0.05,knn,2559936810.7682652
df_10min,0.05,linear,2562267839.425663
df_10min,0.05,moving_average,2559178886.570754
df_10min,0.05,moving_median,2559568081.454771
df_10min,0.05,quadratic,2564254833.167121
df_10min,0.10,ewma,2555167691.1648
df_10min,0.10,ffill,2563684372.353355
df_10min,0.10,knn_granufill,2561341844.073424
df_10min,0.10,pchip,2579379082.509385
df_10min,0.10,seasonal,2563086192.047605
df_10min,0.10,cubic,2566682013.1610293
df_10min,0.10,granufill,2532676438.7014284
df_10min,0.10,knn,2556491085.336874
df_10min,0.10,linear,2561806946.764315
df_10min,0.10,moving_average,2555031245.033128
df_10min,0.10,moving_median,2555675392.030601
df_10min,0.10,quadratic,2565898673.7775707
df_10min,0.20,ewma,2546538093.8299932
df_10min,0.20,ffill,2563098367.648019
df_10min,0.20,knn_granufill,2558749576.396907
df_10min,0.20,pchip,2577723980.8565717
df_10min,0.20,seasonal,2563438289.5076733
df_10min,0.20,cubic,2568168524.695577
df_10min,0.20,granufill,2501233083.796428
df_10min,0.20,knn,2549388351.926282
df_10min,0.20,linear,2559801380.101888
df_10min,0.20,moving_average,2546587982.65875
df_10min,0.20,moving_median,2547876173.4404407
df_10min,0.20,quadratic,2566884383.323231
df_10min,0.25,ewma,2543788004.70393
df_10min,0.25,ffill,2563621033.4132085
df_10min,0.25,knn_granufill,2558494188.914466
df_10min,0.25,pchip,2577624506.468036
df_10min,0.25,seasonal,2564576492.9195557
df_10min,0.25,cubic,2570038863.530794
df_10min,0.25,granufill,2486778960.0535574
df_10min,0.25,knn,2546916655.4525967
df_10min,0.25,linear,2559540664.91259
df_10min,0.25,moving_average,2543931889.7016664
df_10min,0.25,moving_median,2545395621.066546
df_10min,0.25,quadratic,2568505602.884012
df_hour,0.05,ewma,14254089029.0643
df_hour,0.05,ffill,14254090327.66184
df_hour,0.05,knn_granufill,14254089734.984583
df_hour,0.05,pchip,14254091333.587719
df_hour,0.05,seasonal,14254091013.381788
df_hour,0.05,cubic,14254100942.072102
df_hour,0.05,granufill,14254089333.233662
df_hour,0.05,knn,14254089421.451479
df_hour,0.05,linear,14254090810.533213
df_hour,0.05,moving_average,14254088931.058914
df_hour,0.05,moving_median,14254089759.231909
df_hour,0.05,quadratic,14254099460.693142
df_hour,0.10,ewma,14254089029.0643
df_hour,0.10,ffill,14254090327.66184
df_hour,0.10,knn_granufill,14254089734.984583
df_hour,0.10,pchip,14254091333.587719
df_hour,0.10,seasonal,14254091013.381788
df_hour,0.10,cubic,14254100942.072102
df_hour,0.10,granufill,14254089333.233662
df_hour,0.10,knn,14254089421.451479
df_hour,0.10,linear,14254090810.533213
df_hour,0.10,moving_average,14254088931.058914
df_hour,0.10,moving_median,14254089759.231909
df_hour,0.10,quadratic,14254099460.693142
df_hour,0.20,ewma,14254089029.0643
df_hour,0.20,ffill,14254090327.66184
df_hour,0.20,knn_granufill,14254089734.984583
df_hour,0.20,pchip,14254091333.587719
df_hour,0.20,seasonal,14254091013.381788
df_hour,0.20,cubic,14254100942.072102
df_hour,0.20,granufill,14254089333.233662
df_hour,0.20,knn,14254089421.451479
df_hour,0.20,linear,14254090810.533213
df_hour,0.20,moving_average,14254088931.058914
df_hour,0.20,moving_median,14254089759.231909
df_hour,0.20,quadratic,14254099460.693142
df_hour,0.25,ewma,14254089029.0643
df_hour,0.25,ffill,14254090327.66184
df_hour,0.25,knn_granufill,14254089734.984583
df_hour,0.25,pchip,14254091333.587719
df_hour,0.25,seasonal,14254091013.381788
df_hour,0.25,cubic,14254100942.072102
df_hour,0.25,granufill,14254089333.233662
df_hour,0.25,knn,14254089421.451479
df_hour,0.25,linear,14254090810.533213
df_hour,0.25,moving_average,14254088931.058914
df_hour,0.25,moving_median,14254089759.231909
df_hour,0.25,quadratic,14254099460.693142
