instituição,granularidade:,MAE,RMSE,NRMSE,SMAPE
189,diária,0.11968134343624115,0.13567857829958616,0.2414930909872055,71.73304748535156
189,horária,0.01344031747430563,0.024318333342610784,0.07599490135908127,87.05475616455078
68,diária,0.08470682054758072,0.10292482925618157,0.42372927069664,26.0065975189209
68,horária,0.03811374679207802,0.04807064933603045,0.14048227667808533,15.630311012268066
217,diária,0.20410335063934326,0.27359106656190424,0.21727292239665985,44.12112808227539
217,horária,0.02835405059158802,0.05983234060204639,0.05866261571645737,63.929962158203125
198,diária,0.08918410539627075,0.09695728022595396,0.44807806611061096,52.868717193603516
198,horária,0.017015038058161736,0.029898552707223885,0.07902424037456512,53.969444274902344
150,diária,0.1854076087474823,0.2335686162995538,0.2047785222530365,30.18001365661621
150,horária,0.038760386407375336,0.06964030085632227,0.09754414856433868,59.79151916503906
130,diária,0.13788293302059174,0.17710066574955377,0.23049576580524445,13.865782737731934
130,horária,0.05582336336374283,0.07314870909001091,0.1277884542942047,21.35102081298828
64,diária,0.10064118355512619,0.12660448914287467,0.23984405398368835,25.171398162841797
64,horária,0.029307380318641663,0.04720141338732205,0.10993678122758865,37.02219009399414
3,diária,0.09845345467329025,0.11161852906251864,0.3533163070678711,53.099613189697266
3,horária,0.04102124273777008,0.06345176946182653,0.09954724460840225,21.74891471862793
41,diária,0.10741710662841797,0.12114578328933841,0.24076896905899048,40.31733703613281
41,horária,0.022019492462277412,0.03328867018055977,0.12133322656154633,50.34974670410156
117,diária,0.12033230811357498,0.14306187541153714,0.262995183467865,44.95319747924805
117,horária,0.032269690185785294,0.0560409789153238,0.07742875069379807,55.647132873535156
238,diária,0.055405717343091965,0.07692690622917989,0.2230677753686905,9.750014305114746
238,horária,0.07783787697553635,0.09908798209678596,0.14372247457504272,21.220829010009766
152,diária,0.09455718100070953,0.09611171965327546,0.8889158368110657,72.12491607666016
152,horária,0.017092570662498474,0.024961970506404817,0.10225165635347366,60.53236770629883
151,diária,0.0899662896990776,0.09672850522653138,0.702353835105896,54.27201843261719
151,horária,0.012573514133691788,0.018670827572365507,0.11247573792934418,71.27548217773438
125,diária,0.10810954123735428,0.1264513443034647,0.2530473470687866,11.953624725341797
125,horária,0.07261551916599274,0.10667054381936157,0.09774833172559738,20.4724063873291
74,diária,0.09484896063804626,0.11469969927535091,0.41904905438423157,39.50041198730469
74,horária,0.025168124586343765,0.046746878568523054,0.0722627267241478,23.77657699584961
96,diária,0.12373893707990646,0.14939298668111686,0.21748441457748413,30.580801010131836
96,horária,0.022342100739479065,0.050883135921809826,0.06161465495824814,34.40781784057617
