Modelo,Granularidade,Metrica,método ffill ,método granufill
GRU,diária,RMSE,0.1647,0.1624
GRU,diária,MAE,0.1234,0.1206
GRU,diária,SMAPE,24.4759,24.2402
GRU,diária,NRMSE,0.1647,0.1624
GRU,horária,RMSE,0.0715,0.0698
GRU,horária,MAE,0.0422,0.0411
GRU,horária,SMAPE,39.5547,39.7353
GRU,horária,NRMSE,0.0715,0.0698
GRU,10minutos,RMSE,0.0408,0.0409
GRU,10minutos,MAE,0.0195,0.0194
GRU,10minutos,SMAPE,51.2897,51.4524
GRU,10minutos,NRMSE,0.0408,0.0409
LSTM,diária,RMSE,0.1610,0.1574
LSTM,diária,MAE,0.1201,0.1154
LSTM,diária,SMAPE,24.1196,23.8187
LSTM,diária,NRMSE,0.1610,0.1574
LSTM,horária,RMSE,0.0706,0.0700
LSTM,horária,MAE,0.0413,0.0416
LSTM,horária,SMAPE,39.5995,39.7333
LSTM,horária,NRMSE,0.0706,0.0700
LSTM,10minutos,RMSE,0.0414,0.0415
LSTM,10minutos,MAE,0.0199,0.0202
LSTM,10minutos,SMAPE,51.6244,51.4472
LSTM,10minutos,NRMSE,0.0414,0.0415
RNN,diária,RMSE,0.1740,0.1749
RNN,diária,MAE,0.1330,0.1309
RNN,diária,SMAPE,26.0007,25.6762
RNN,diária,NRMSE,0.1740,0.1749
RNN,horária,RMSE,0.0760,0.0747
RNN,horária,MAE,0.0459,0.0459
RNN,horária,SMAPE,43.6758,42.0688
RNN,horária,NRMSE,0.0760,0.0747
RNN,10minutos,RMSE,0.0448,0.0415
RNN,10minutos,MAE,0.0238,0.0197
RNN,10minutos,SMAPE,54.6590,53.3646
RNN,10minutos,NRMSE,0.0448,0.0415
